"Iteration" "Assoc_Stat" "S_IBS" "S_AM" "S_AS" "S_LIN" "S_REC" "S_QUAD" "S_012" "S_123" "S_124" "S_h1" "skat.kernel" "tree1" "tree2" "tree3" "tree4" "tree5"
"217" 67 "GTSR" 0.322 0.322 0.49 0.892 0.926 0.882 0.476 0.784 0.88 0.444 0 0.842 0.842 0.638 0.614 0.614
"222" 72 "GTSR" 0.242 0.242 0.298 0.84 0.94 0.918 0.306 0.566 0.588 0.288 0 0.634 0.634 0.018 0.01 0.01
"225" 75 "GTSR" 0.004 0.004 0.006 0.732 0.932 0.832 0.014 0.176 0.18 0.002 0 0.028 0.028 0 0 0
"226" 76 "GTSR" 0.964 0.964 1 0.976 0.888 0.984 0.996 0.978 0.968 0.976 0.004 0.94 0.94 0.696 0.684 0.684
"228" 78 "GTSR" 0.922 0.922 0.686 0.68 0.946 0.742 0.646 0.642 0.66 0.946 0 0.582 0.582 0.292 0.196 0.196
"230" 80 "GTSR" 0.604 0.604 0.604 0.944 0.784 0.864 0.622 0.752 0.718 0.57 0 0.84 0.84 0.174 0.194 0.194
"232" 82 "GTSR" 0.138 0.138 0.466 0.662 0.942 0.752 0.436 1 0.926 0.202 0 0.146 0.146 0.28 0.344 0.344
"242" 62 "MDMR" 0.014 0.02 0.004 0.95 0.278 0.466 0.078 0.068 0.154 0.058 0 0.124 0.162 0.044 0.046 0.032
"244" 64 "MDMR" 0.096 0.094 0.144 0.26 0.582 0.476 0.104 0.108 0.15 0.142 0 0.506 0.478 0.062 0.066 0.058
"246" 66 "MDMR" 0.108 0.144 0.098 0.368 0.046 0.16 0.06 0.098 0.08 0.106 0.014 0.238 0.2 0.044 0.082 0.082
"247" 67 "MDMR" 0.076 0.11 0.162 0.532 0.748 0.684 0.156 0.106 0.196 0.092 0.002 0.338 0.332 0.258 0.218 0.198
"252" 72 "MDMR" 0.066 0.064 0.096 0.004 0.21 0.198 0.14 0.084 0.174 0.09 0.068 0.234 0.266 0.014 0.014 0.012
"255" 75 "MDMR" 0.002 0.006 0.002 0 0.4 0 0.012 0 0.018 0.016 0 0.03 0.024 0 0 0
"256" 76 "MDMR" 0.386 0.368 0.396 0.566 0.938 0.632 0.628 0.414 0.684 0.392 0.018 0.43 0.452 0.738 0.756 0.736
"258" 78 "MDMR" 0.426 0.424 0.156 0.24 0.822 0.4 0.3 0.476 0.528 0.54 0 0.758 0.806 0.034 0.042 0.036
"260" 80 "MDMR" 0.178 0.174 0.164 0.152 0.84 0.38 0.262 0.234 0.344 0.196 0.004 0.574 0.514 0.116 0.126 0.084
"262" 82 "MDMR" 0.032 0.046 0.01 0.014 0.87 0.048 0.02 0.046 0.068 0.064 0 0.06 0.07 0.2 0.23 0.24
"271" 91 "SKAT" 0.00329454831440934 0.00329454831440934 0.00329454831440934 0.365424947168328 0.995964252544724 0.001298256710345 0.00758706012207411 0.00758706012207444 0.0112924827907545 0.00758706012207433 2.08141537475504e-05 0.00300741697772045 0.00300741697772056 0.000974126050562574 0.000646072870888581 0.000646072870888359
"273" 93 "SKAT" 0.00144472607214841 0.00144472607214841 0.00144472607214829 0.466363871003015 0.999420241175014 1 0.00184559626460623 0.00184559626460623 0.0042446965579781 0.00184559626460623 5.97079435893377e-08 0.0534689873322431 0.0534689873322433 0.00859786521716455 0.0076920386185535 0.00769203861855239
"274" 94 "SKAT" 0.0750817456823222 0.0750817456823222 0.0750817456823222 0.376139016533201 1 2.28269803681513e-06 0.0622948406737796 0.0622948406737793 0.0717890924952758 0.0622948406737796 2.91353115100534e-06 0.263273731620057 0.263273731620058 0.0330449335621876 0.0391282657028706 0.0391282657028695
"275" 95 "SKAT" 0.000312753672756738 0.000312753672756738 0.000312753672756516 0.0679007662838347 1 0.518898778071633 0.000621862956780683 0.000621862956780683 0.00188070163018605 0.000621862956781016 1.7222198053668e-05 0.248644214107086 0.248644214107085 0.0442361877532262 0.0427381791706398 0.0427381791706399
"276" 96 "SKAT" 0.0318069649265699 0.0318069649265699 0.0318069649265696 1 0.993107357088584 0.340441017200811 0.0220215223136444 0.0220215223136446 0.0185894436657795 0.0220215223136446 0.00249351509469009 0.24084607972305 0.24084607972305 0.107451832614058 0.111641075587951 0.111641075587952
"277" 97 "SKAT" 0.746938054311285 0.746938054311285 0.746938054311284 0.431687234901753 0.803569294861405 0.599795550827518 0.790050904279441 0.790050904279442 0.812237823037352 0.790050904279439 0.00457320610567713 0.841155727241125 0.841155727241125 0.35569485044465 0.385201231934496 0.385201231934496
"284" 104 "SKAT" 0.133516026563086 0.133516026563086 0.133516026563086 1 1 1 0.161777946092924 0.161777946092923 0.251532798388774 0.161777946092925 9.65602657211351e-05 0.583168137516679 0.58316813751668 0.0986741807763289 0.101513206901831 0.101513206901831
"286" 106 "SKAT" 0.00313077839738141 0.00313077839738141 0.00313077839738107 1 1 1 0.00260820918661886 0.00260820918661864 0.00233182448190616 0.00260820918661886 1.65306379570351e-05 0.00910644361248858 0.00910644361248858 0.0742298514174666 0.0744718236335689 0.0744718236335693
"287" 107 "SKAT" 0.276077696474448 0.276077696474448 0.276077696474448 0.815861484715408 1 0.997795602955363 0.39729888158079 0.397298881580791 0.506882802078956 0.397298881580791 0.00284043069731266 0.35163914443051 0.351639144430511 0.0630064483040697 0.0540778638019572 0.054077863801958
"288" 108 "SKAT" 0.253426334011901 0.253426334011901 0.253426334011901 1 1 0.550850474496045 0.374530909133883 0.374530909133882 0.550602881395206 0.374530909133883 0.00444451979299587 0.676185373736479 0.676185373736479 0.0305777376779623 0.0436662888991477 0.0436662888991479
